source,component_path,component_name,migrated_path,mode,migrated,agent_visual_qa,human_qa,swapped,notes
adapters/web-ui,"packages/adapters/web-ui/src/components/AccordionList.tsx","AccordionList.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ActiveSessions.tsx","ActiveSessions.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ActivityFeed.tsx","ActivityFeed.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/AgentAvatar.tsx","AgentAvatar.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/AlertBanner.tsx","AlertBanner.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/AudioPlayer.tsx","AudioPlayer.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/AuditLogViewer.tsx","AuditLogViewer.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/Badge.tsx","Badge.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/BatteryMeter.tsx","BatteryMeter.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/BrainActivity.tsx","BrainActivity.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/Breadcrumbs.tsx","Breadcrumbs.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/CalendarView.tsx","CalendarView.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/CircularProgress.tsx","CircularProgress.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/CodeDiffViewer.tsx","CodeDiffViewer.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ColorPicker.tsx","ColorPicker.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/CommandPalette.tsx","CommandPalette.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ConfidenceMeter.tsx","ConfidenceMeter.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ConfirmationModal.tsx","ConfirmationModal.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ConflictResolver.tsx","ConflictResolver.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ConnectionSignal.tsx","ConnectionSignal.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ContextMenu.tsx","ContextMenu.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ContextUsage.tsx","ContextUsage.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/CountdownWidget.tsx","CountdownWidget.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/CsvViewer.tsx","CsvViewer.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DailyAgenda.tsx","DailyAgenda.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DataTable.tsx","DataTable.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DatePicker.tsx","DatePicker.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DatePickerPro.tsx","DatePickerPro.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DependencyGraph.tsx","DependencyGraph.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DiffStatSummary.tsx","DiffStatSummary.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DockMenu.tsx","DockMenu.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/DraggableList.tsx","DraggableList.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/EditableText.tsx","EditableText.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/EmptyState.tsx","EmptyState.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/EnrichmentPanel.tsx","EnrichmentPanel.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ErrorBoundary.tsx","ErrorBoundary.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ErrorCluster.tsx","ErrorCluster.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/EventCard.tsx","EventCard.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/FileAssetPicker.tsx","FileAssetPicker.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/FileMetadataCard.tsx","FileMetadataCard.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/GeoRequestMap.tsx","GeoRequestMap.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/HeatmapGrid.tsx","HeatmapGrid.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/HexInspector.tsx","HexInspector.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/HistoryView.tsx","HistoryView.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/HoverCard.tsx","HoverCard.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ImageCompare.tsx","ImageCompare.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/ImageDiff.tsx","ImageDiff.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/InfoSidebar.tsx","InfoSidebar.tsx",,hybrid,pending,pending,pending,pending,
adapters/web-ui,"packages/adapters/web-ui/src/components/InlineTutorialTooltip.tsx","InlineTutorialTooltip.tsx",,hybrid,pending,pending,pending,pending,
