story_id,mode,viewport,width,height,screenshot,console_errors,row_status,notes
migrations-webui-holographiccard--default,dark,desktop,1920,1080,docs/qa/pass26/screenshots/migrations-webui-holographiccard--default__dark__desktop.png,"none",PASS,mini-audit-pass26
migrations-webui-holographiccard--default,dark,tablet,1024,768,docs/qa/pass26/screenshots/migrations-webui-holographiccard--default__dark__tablet.png,"none",PASS,mini-audit-pass26
migrations-webui-holographiccard--default,dark,mobile,390,844,docs/qa/pass26/screenshots/migrations-webui-holographiccard--default__dark__mobile.png,"none",PASS,mini-audit-pass26
migrations-webui-holographiccard--default,light,desktop,1920,1080,docs/qa/pass26/screenshots/migrations-webui-holographiccard--default__light__desktop.png,"none",PASS,mini-audit-pass26
migrations-webui-holographiccard--default,light,tablet,1024,768,docs/qa/pass26/screenshots/migrations-webui-holographiccard--default__light__tablet.png,"none",PASS,mini-audit-pass26
migrations-webui-holographiccard--default,light,mobile,390,844,docs/qa/pass26/screenshots/migrations-webui-holographiccard--default__light__mobile.png,"none",PASS,mini-audit-pass26
migrations-studio-toast--error,dark,desktop,1920,1080,docs/qa/pass26/screenshots/migrations-studio-toast--error__dark__desktop.png,"none",PASS,mini-audit-pass26
migrations-studio-toast--error,dark,tablet,1024,768,docs/qa/pass26/screenshots/migrations-studio-toast--error__dark__tablet.png,"none",PASS,mini-audit-pass26
migrations-studio-toast--error,dark,mobile,390,844,docs/qa/pass26/screenshots/migrations-studio-toast--error__dark__mobile.png,"none",PASS,mini-audit-pass26
migrations-studio-toast--error,light,desktop,1920,1080,docs/qa/pass26/screenshots/migrations-studio-toast--error__light__desktop.png,"none",PASS,mini-audit-pass26
migrations-studio-toast--error,light,tablet,1024,768,docs/qa/pass26/screenshots/migrations-studio-toast--error__light__tablet.png,"none",PASS,mini-audit-pass26
migrations-studio-toast--error,light,mobile,390,844,docs/qa/pass26/screenshots/migrations-studio-toast--error__light__mobile.png,"none",PASS,mini-audit-pass26
migrations-dashboardmanager-uptimechart--multi-day,dark,desktop,1920,1080,docs/qa/pass26/screenshots/migrations-dashboardmanager-uptimechart--multi-day__dark__desktop.png,"none",PASS,mini-audit-pass26
migrations-dashboardmanager-uptimechart--multi-day,dark,tablet,1024,768,docs/qa/pass26/screenshots/migrations-dashboardmanager-uptimechart--multi-day__dark__tablet.png,"none",PASS,mini-audit-pass26
migrations-dashboardmanager-uptimechart--multi-day,dark,mobile,390,844,docs/qa/pass26/screenshots/migrations-dashboardmanager-uptimechart--multi-day__dark__mobile.png,"none",PASS,mini-audit-pass26
migrations-dashboardmanager-uptimechart--multi-day,light,desktop,1920,1080,docs/qa/pass26/screenshots/migrations-dashboardmanager-uptimechart--multi-day__light__desktop.png,"none",PASS,mini-audit-pass26
migrations-dashboardmanager-uptimechart--multi-day,light,tablet,1024,768,docs/qa/pass26/screenshots/migrations-dashboardmanager-uptimechart--multi-day__light__tablet.png,"none",PASS,mini-audit-pass26
migrations-dashboardmanager-uptimechart--multi-day,light,mobile,390,844,docs/qa/pass26/screenshots/migrations-dashboardmanager-uptimechart--multi-day__light__mobile.png,"none",PASS,mini-audit-pass26
